onset	duration	trial_type	response_time	stim_file	resp	acc
420.307700125	0.5	scene1	0.0502177199814	k078.jpg	1.0	1.0
423.306780989	0.5	COND	0.233596484293	k026.jpg	1.0	1.0
426.307100989	0.5	face2	0.333589934045	k025.jpg	2.0	1.0
429.307516237	0.5	baseline	0.283062730683	BL	1.0	1.0
434.807999091	0.5	face2	0.033641734859	k025.jpg	2.0	1.0
437.80701866	0.5	COND	0.150306418538	k026.jpg	1.0	0.0
440.807045102	0.5	face2	0.317017554655	k025.jpg	2.0	1.0
443.807020764	0.5	COND	0.0503210814204	k026.jpg	1.0	1.0
446.80706974	0.5	scene2	0.0170348015381	k085.jpg	2.0	1.0
449.807122322	0.5	COND	0.0503267903114	k026.jpg	2.0	1.0
452.807174904	0.5	face1	0.200223368825	k053.jpg	2.0	0.0
455.807224482	0.5	COND	0.0669493480818	k026.jpg	1.0	0.0
458.807342867	0.5	scene1	0.0669490476139	k078.jpg	1.0	1.0
461.807395449	0.5	baseline	0.000292056123726	BL	2.0	1.0
467.308481344	0.5	face1	0.466979034478	k053.jpg	1.0	1.0
470.307412575	0.5	COND	0.333693295368	k026.jpg	2.0	1.0
473.307488895	0.5	scene1	0.150383939617	k078.jpg	1.0	1.0
476.307511129	0.5	baseline	0.283868589206	BL	2.0	1.0
481.808714508	0.5	face1	0.28384214791	k053.jpg	2.0	0.0
484.807699223	0.5	COND	0.316962869256	k026.jpg	2.0	1.0
487.807689908	0.5	face1	0.183681637282	k053.jpg	1.0	1.0
490.807864181	0.5	COND	0.450265133986	k026.jpg	1.0	1.0
493.807854566	0.5	scene1	0.233639150858	k078.jpg	1.0	1.0
496.807910152	0.5	COND	0.333637408214	k026.jpg	2.0	1.0
499.807886415	0.5	scene2	0.183500454412	k085.jpg	2.0	1.0
502.807914359	0.5	COND	0.217049644678	k026.jpg	1.0	1.0
505.808090434	0.5	face1	0.250307680457	k053.jpg	2.0	0.0
508.80801742	0.5	baseline	0.433705073898	BL	1.0	1.0
514.311402506	0.5	scene1	0.400470775203	k078.jpg	1.0	1.0
517.308202809	0.5	COND	0.250292056007	k026.jpg	1.0	1.0
520.308295955	0.5	scene1	0.166970741586	k078.jpg	1.0	1.0
523.308231655	0.5	COND	0.350326069165	k026.jpg	1.0	1.0
526.30830557	0.5	face2	0.217062264448	k025.jpg	1.0	1.0
529.308359955	0.5	scene2	0.500325107714	k085.jpg	2.0	0.0
532.308409532	0.5	baseline	0.100281299208	BL	1.0	1.0
537.811529304	0.5	scene1	0.416939192219	k078.jpg	2.0	1.0
540.808519804	0.5	face1	0.383642395958	k053.jpg	1.0	1.0
543.808586509	0.5	scene1	0.400300709531	k078.jpg	1.0	1.0
546.808703091	0.5	face2	0.216969719855	k025.jpg	1.0	1.0
549.808653213	0.5	COND	0.0168097501155	k026.jpg	2.0	0.0
552.808791429	0.5	face2	0.283691612771	k025.jpg	2.0	1.0
555.808823278	0.5	COND	0.266983721755	k026.jpg	1.0	0.0
558.808795335	0.5	face2	0.28372286167	k025.jpg	2.0	1.0
561.808844011	0.5	scene1	0.450208044844	k078.jpg	1.0	1.0
564.808874358	0.5	scene1	0.0170149706537	k078.jpg	1.0	1.0
567.808939861	0.5	face1	0.0503108655103	k053.jpg	2.0	1.0
570.809272179	0.5	face1	0.450299087097	k053.jpg	2.0	1.0
573.809119241	0.5	face2	0.416861671256	k025.jpg	1.0	1.0
576.809047729	0.5	face1	0.200302692596	k053.jpg	1.0	1.0
579.809121945	0.5	baseline	0.466982039157	BL	2.0	1.0
585.310212348	0.5	face1	0.300251672976	k053.jpg	1.0	1.0
588.309190752	0.5	face1	0.166971042054	k053.jpg	2.0	1.0
591.30934309	0.5	scene2	0.166986065451	k085.jpg	2.0	1.0
594.309295917	0.5	face1	0.150328352815	k053.jpg	2.0	0.0
597.309341588	0.5	face2	0.300331898266	k025.jpg	2.0	1.0
600.3094777	0.5	scene1	0.350354313385	k078.jpg	1.0	1.0
603.309499334	0.5	face2	0.25029986829	k025.jpg	2.0	1.0
606.309481606	0.5	face1	0.0836473236559	k053.jpg	1.0	0.0
609.309507447	0.5	scene1	0.400259545306	k078.jpg	2.0	1.0
612.309558226	0.5	scene2	0.233674005372	k085.jpg	2.0	1.0
615.309612311	0.5	scene1	0.133627372445	k078.jpg	2.0	1.0
618.309756235	0.5	COND	0.400353592122	k026.jpg	2.0	1.0
