onset	duration	trial_type	response_time	stim_file	resp
113.50105675	0.5	math	0.583549070172	7	2.0
114.75099906	0.5	math	0.700235387543	7	2.0
116.001035417	0.5	math	0.533857471892	9	2.0
117.251271886	0.5	math	0.600242238375	3	1.0
118.509990601	0.5	scence	0.75033892924	w069.jpg	1.0
119.751598797	0.5	scence	0.800247165957	w053.jpg	1.0
121.001117746	0.5	scence	0.616908364114	s051.jpg	2.0
122.251101821	0.5	scence	0.617032758426	w074.jpg	1.0
123.501147192	0.5	scence	0.73360279412	w058.jpg	1.0
124.751190459	0.5	scence	0.733657179051	w075.jpg	1.0
126.001247248	0.5	scence	0.766931740567	w062.jpg	1.0
127.25120368	0.5	scence	0.816964972531	s068.jpg	1.0
128.501298327	0.5	scence	0.700272946153	w066.jpg	1.0
129.751203379	0.5	scence	0.650290493621	s057.jpg	2.0
131.001326572	0.5	scence	0.683713487	w062.jpg	1.0
132.251372844	0.5	scence	0.883605738753	s056.jpg	1.0
133.501162215	0.5	scence	0.950306899264	s070.jpg	2.0
134.751256863	0.5	scence	0.800209006411	s055.jpg	1.0
136.001392975	0.5	scence	0.800302452291	s057.jpg	2.0
137.251288412	0.5	scence	0.767002651352	w058.jpg	1.0
138.501301933	0.5	scence	0.733758437098	w069.jpg	1.0
139.751484919	0.5	scence	0.650263451389	s061.jpg	2.0
141.001462684	0.5	scence	0.767080472899	w073.jpg	1.0
142.251330778	0.5	scence	0.883552555693	s068.jpg	1.0
143.501365332	0.5	math		1	
144.751295022	0.5	math		7	
146.001540806	0.5	math	0.583592337789	2	1.0
147.25133228	0.5	math	0.717017194023	9	2.0
148.501445858	0.5	math	0.633594020386	3	1.0
149.751480412	0.5	math	0.75026831904	6	2.0
151.001440149	0.5	math	0.566961667268	2	1.0
152.251407398	0.5	math	0.550340010901	9	2.0
153.501443755	0.5	math	0.566920503043	4	1.0
154.751520975	0.5	math	0.517003252287	9	2.0
156.010947896	0.5	face	0.700254918076	WWmale23-6neutral.bmp	2.0
157.251643567	0.5	face	0.783642936731	EMBmale20neutral.bmp	2.0
158.501454271	0.5	face	0.800415128237	TMWmale20neutral.bmp	2.0
159.751504449	0.5	face	0.650235507754	EMIfemale25-2neutral.bmp	1.0
161.001510759	0.5	face	0.633528818609	WWfemale29neutral.bmp	1.0
162.251522177	0.5	face	0.650244221324	WHfemale18neutral.bmp	1.0
163.501518872	0.5	face	0.700265735039	EMWmale19-2neutral.bmp	2.0
164.751464487	0.5	face	0.700374204316	EMWfemale25neutral.bmp	1.0
166.001612618	0.5	face	0.75026441284	EMImale23neutral.bmp	2.0
167.251574158	0.5	face	0.70031711529	EMWfemale22-4neutral.bmp	1.0
168.501575961	0.5	face	0.833619380021	TMAfemale27neutral.bmp	1.0
169.751599999	0.5	face	0.733739808085	EMImale23neutral.bmp	2.0
171.001623435	0.5	face	0.550221926533	TMWmale20neutral.bmp	2.0
172.251624036	0.5	face	0.63362226449	TMBfemale19-2neutral.bmp	1.0
173.501644468	0.5	face	0.766946764081	WImale25-4neutral.bmp	2.0
174.751660994	0.5	face	0.683554238291	TMWfemale26neutral.bmp	1.0
176.001743022	0.5	face	0.950294880429	TSFWmale23neutral.bmp	1.0
177.251667905	0.5	face	0.816987207276	EMWfemale25neutral.bmp	1.0
178.501699153	0.5	face	0.600427327328	EMImale23-3neutral.bmp	2.0
179.751637858	0.5	face	0.650369817507	TMBfemale18neutral.bmp	1.0
181.001732205	0.5	math	0.917014309554	3	1.0
182.251803116	0.5	math	0.550276611932	1	1.0
183.501683229	0.5	math	0.433699064422	1	1.0
184.751852393	0.5	math	0.466840818641	8	2.0
186.001775773	0.5	math	0.550215917174	7	2.0
187.251801012	0.5	math	0.516899289913	8	2.0
188.501739717	0.5	math	0.816997122718	7	2.0
189.75182535	0.5	math	0.533926579752	4	1.0
191.001813332	0.5	math	0.516885468387	8	2.0
192.251828956	0.5	math	0.533582843025	1	1.0
193.51066846	0.5	scence	0.867026148015	s070.jpg	2.0
194.752091266	0.5	scence	0.616873209248	w062.jpg	1.0
196.001825651	0.5	scence	0.716916536796	w077.jpg	1.0
197.25183136	0.5	scence	0.800395297236	s059.jpg	2.0
198.502030871	0.5	scence	0.933621242875	s060.jpg	2.0
199.751851191	0.5	scence	0.666990272002	w058.jpg	1.0
201.001958759	0.5	scence	0.933636266389	s056.jpg	1.0
202.252015247	0.5	scence	0.833665952785	s054.jpg	2.0
203.501992712	0.5	scence		s055.jpg	
204.751864412	0.5	scence	0.333624487976	w062.jpg	1.0
206.002008036	0.5	scence	0.950415368541	s068.jpg	1.0
207.252184712	0.5	scence	0.533474073047	w074.jpg	1.0
208.501984599	0.5	scence	0.832762441831	s065.jpg	2.0
209.751975585	0.5	scence	0.817010944244	s054.jpg	2.0
211.001976487	0.5	scence	0.533599368762	w053.jpg	1.0
212.252059716	0.5	scence	0.716936367797	s063.jpg	2.0
213.502165181	0.5	scence	0.800281118951	w078.jpg	1.0
